GCVMJHE01CM1AV	CAM_READ_0403909775	96.00	50	1	1	22	70	153	104	1e-14	80.5
GCVMJHE01BL828	CAM_READ_0403909775	98.61	72	0	1	67	137	82	153	3e-28	126
GCVMJHE01BL828	CAM_READ_0403909775	98.25	57	0	1	15	70	200	144	7e-20	99.0
GCVMJHE01BL828	CAM_READ_0403909775	95.12	41	0	2	126	164	218	178	2e-09	63.9
GCVMJHE01D3LD2	CAM_READ_0403909775	97.96	49	0	1	49	96	153	105	1e-15	84.2
GCVMJHE01D3LD2	CAM_READ_0403909775	95.83	48	0	2	15	60	171	218	2e-13	76.8
GCVMJHE01EGOWM	CAM_READ_0403909775	95.38	65	0	3	14	77	206	144	2e-20	100
GCVMJHE01EGOWM	CAM_READ_0403909775	90.79	76	2	5	74	148	82	153	3e-19	97.1
GCVMJHE01BDM7X	CAM_READ_0403909775	95.16	62	1	2	15	74	157	218	3e-20	99.0
GCVMJHE01D5KQD	CAM_READ_0403909775	96.43	56	0	1	13	66	121	176	4e-18	91.6
GCVMJHE01DU0S0	CAM_READ_0403909775	96.49	57	0	2	27	81	218	162	2e-18	93.5
GCVMJHE01EL079	CAM_READ_0403909775	97.22	72	0	2	18	87	153	82	2e-26	121
GCVMJHE01EL079	CAM_READ_0403909775	97.06	68	1	1	89	155	151	218	3e-24	113
GCVMJHE01EL079	CAM_READ_0403909775	94.92	59	1	2	143	199	154	96	2e-17	91.6
GCVMJHE01D34LU	CAM_READ_0403909775	96.43	56	0	1	15	68	183	128	5e-18	91.6
GCVMJHE01CCRE3	CAM_READ_0403909775	93.85	65	1	3	15	76	189	125	1e-19	97.1
GCVMJHE01CI7AF	CAM_READ_0403909775	97.14	70	0	1	16	83	134	203	9e-26	117
